门店名称,视图编码
滨江天坤春晓路天翼卖场,3301081018194
新浦营业厅,3302821030010
东坡深蓝通讯,5114011165208
小店人民南路好和代理店,1401001615160
万博宁夏路营业厅,3702021002238
大畅通黄岛崇明岛东路社区店,3702001000332
诚冉上海文涵路天翼专营店,3101171003231
邮银上海鹤旋路天翼专营店,3101121018682
君弘上海迎春路天翼专营店,3101151002980
汉启上海张杨路百脑汇天翼专营店,3101151000490
振渠腾上海涞寅路天翼专营店,3101171009982
双强上海瞿溪路天翼专营店,3101011002960
爱星上海公园路专营店,3101001009448
鸿展上海四平路天翼专营店,3101081015535
紫阳县蒿坪镇全网通手机卖场,6109241060401
蔡家坡华太西机全网通,6103011077002
渭南市前进路供电局政企代理店,6105011025210
固原市原州区金城花园营业厅,6404021065423
丽鸿商贸大武口营业厅,6402021065470
丽鸿商贸大武口贺兰山店,6402021065121
包头市联捷通通讯设备有限责任公司昆区联捷钢铁大街王府井专营店,1502011003788
新城区刘成海通讯服务部街区新城西八一市场专营店,1501011002641
街区新城西青橙部落营业厅,1501011002407
中国电信前进路营业厅,1525011004482
魏玛峰广州路专营店,3601011207464
韩明亮永丰南营业厅,3611221215009
中童镇主厅全网通营业厅,3606221201090
常州文化宫接单营业厅,3204021162105
长岛营业厅,3206811149845
无锡宜兴官林丰义新丰中路专营店,3202821082318
沭阳无锡路耿志国营业厅,3213221004875
徐州开发区分局营业厅,3203001014253
新沂市徐州新沂高流营业厅,3203811062597
南洋至博海淀西三旗合作厅,1101081013597
中关村南路营业厅,1101081002047
公主坟营业厅,1101081002042
六安梅山路城市营业部营业厅,3415011008030
芜湖市北京东路营业厅,3402001110121
新牌坊营业厅,5001121112422
江北小苑营业厅,5001051112474
沙坪坝营业厅,5001061112475
大坪营业厅,5001031112471
贵阳中铁逸都国际天翼手机卖场,5201151006145
广水市应山育才电信代理店,4213811914581
青山白玉山营业厅,4201001000410
新洲齐安大道互动专营店,4201011011169
万山营业厅,4206021000996
五峰县五峰镇中心营业厅,4205291000221
长阳龙舟大道营业厅,4205281914624
市区开州天翼专营店,4109011175379
柳林营业厅,4101011143147
大城荣庆街营业厅,1310251098322
开发区森雅天成锦江苑店,1303311098264
凤中路自建它营店,1301271098168
中国电信建设营业厅,3504251005286
大地东方广场合作厅,4406001124886
中邮平洲店,4406051001758
番禺东怡新区专营店,4401131084508
黄埔东圃大马路专营店,4401121126635
黄埔中山大道东合作营业厅,4401001000996
荔湾区增槎营业厅,4401031101651
江海高新区营业厅,4407001102873
电白县海滨营业厅,4409231101909
茂名图辰通讯光华北专营店,4409021122001
信宜市解放路营业厅,4409831101947
广东迪信通商贸有限公司专营店,4402011161196
中恒国信湛江赤坎中山二路专营店,4408021129869
鼎湖沙浦合作厅,4412031155298
右江区亚速通讯中山二路精品店,4510011102496
江山营业厅,4506031000498
武林营业厅,4508211000527
中南路46号营业厅,4513011110810
平阳营业厅,4513011000827
胜利路合作营业厅,4502001002738
梧州市迪信通旺城广场精品店,4504031127127
龙潭营业厅,4509231000977
武义实业城南手机卖场,3307231014569
淮河路营业厅,3407021000033
合肥滨湖营业厅丰泰卖场杨家勇,3401001112454
合肥高新区科学大道丰泰独立卖场杨家勇,3401011124957
合肥经开营业厅文鑫卖场王昌清,3401001116201
镇江扬中市江洲西路天诚手机卖场,3211821083804
中国电信南通分公司南通港闸区新华路天翼手机卖场,3206111106950
中国电信股份有限公司淮安市淮安区分公司,3208031033925
重庆市长寿区张海花育才路社区店,5001151604167
廊坊市广阳区旭达通通讯器材经销部,1310031098068
廊坊市安次区永华东道旭达通讯器材经营部,1310021076476
天河区正佳营业厅,4401061064034
灯市口营业厅,1100001087909
中国电信洋浦大街手机卖场,2201011001641
太原市万柏林区理工大北校营业厅,1401001609632
太原市尖草坪区工业学院营业厅,1401001610586
太原市尖草坪区中北大学营业厅,1401001609631
华信通广渠路九龙商厦合作厅,1100001014254
太原市晋源区义井街营业14厅,1401001601663
中国电信兴安路营业厅,1501001474918
宏辉金桥一路专营店,1501001342312
陕通服南环东路社区体验店,6109021286110
安康市区兴安中路营业厅（江风二）,6109021024482
旬阳西岔电信代理店,6109281016438
安康旬阳县振旬东路营业厅（翼博）,6109281261280
旬阳飞阳通讯振旬路专营店,6109281542858
安康旬阳县振旬东路营业厅（星火）,6109281020608